Place_name,Score,review,Link,Addr,Lat,Lng,Phone,Subcategory
피오니 홍대점,3.8,371,https://place.map.kakao.com/26235884,서울 마포구 독막로7길 51 1층,37.5500851944722,126.919764712297,02-333-5325,카페
943킹스크로스,3.6,316,https://place.map.kakao.com/53292857,서울 마포구 양화로16길 24,37.5529886454513,126.920810003015,02-3144-2112,카페
앤트러사이트 서교점,3.5,284,https://place.map.kakao.com/657926243,서울 마포구 월드컵로12길 11,37.5555199250015,126.91168814846,02-336-7650,카페
카페공명,3.8,251,https://place.map.kakao.com/1797970569,서울 마포구 연희로 11 한국특허정보원빌딩 1층,37.5599066519084,126.926329830937,070-8869-6304,카페
당인리책발전소,3.5,199,https://place.map.kakao.com/123575123,서울 마포구 월드컵로14길 10-8 1층,37.5558771139365,126.911012870539,,북카페
1984,3.7,452,https://place.map.kakao.com/23634722,서울 마포구 동교로 194 혜원빌딩 1층,37.5573847248586,126.922886096614,02-325-1984,북카페
톤앤매너,4.2,26,https://place.map.kakao.com/1960387368,서울 마포구 와우산로29가길 13 1층,37.5542683101067,126.928691952837,02-332-8252,카페
브런치가,2.8,202,https://place.map.kakao.com/1710643353,서울 마포구 월드컵북로4길 39,37.5580962929522,126.921459442035,02-735-0263,카페
테일러커피 서교점,4.3,113,https://place.map.kakao.com/27248379,서울 마포구 와우산로27길 7 2층,37.5538328517557,126.927645084291,02-334-0355,커피전문점
앤디스커피,3.5,20,https://place.map.kakao.com/1737597646,서울 마포구 와우산로35길 75 2층,37.5564036476463,126.926735502823,070-7706-3404,카페
비트포비아 던전홍대점,4.4,116,https://place.map.kakao.com/1246652450,서울 마포구 독막로3길 30,37.549575099755,126.917355874781,02-322-4997,테마카페
카페요호,4.0,133,https://place.map.kakao.com/1248819302,서울 마포구 잔다리로 88 1층,37.5552383210797,126.915824275235,02-336-0150,카페
콜린,3.8,238,https://place.map.kakao.com/26966842,"서울 마포구 어울마당로 45 1, 2층",37.5493354474139,126.920525073336,02-3141-1119,테마카페
이미커피,4.2,134,https://place.map.kakao.com/15985522,서울 마포구 동교로25길 7 1층,37.5574746371768,126.921915516345,02-6368-5228,카페
키쉬미뇽,3.1,238,https://place.map.kakao.com/71785169,서울 마포구 양화로6길 35,37.54909748616,126.916213222146,02-333-3466,카페
W카페,2.4,26,https://place.map.kakao.com/11933564,서울 마포구 동교로25길 16,37.557912563826,126.921706926754,070-7818-7953,카페
빌리프커피로스터스,3.4,171,https://place.map.kakao.com/26611450,서울 마포구 양화로11길 50 1층,37.5523422860741,126.914006649192,02-322-3100,커피전문점
공상온도,3.9,159,https://place.map.kakao.com/27379281,서울 마포구 동교로23길 40 지하 1층,37.5576574792422,126.919809107657,02-336-0247,카페
카페장쌤,3.8,104,https://place.map.kakao.com/15612278,서울 마포구 와우산로29마길 5,37.5557344007179,126.92690331569,070-4084-3414,카페
금옥당,3.9,67,https://place.map.kakao.com/1873235516,서울 마포구 어울마당로 39 1층,37.5487581184542,126.920303433755,02-325-4040,디저트카페
태양커피 홍대점,4.0,65,https://place.map.kakao.com/1139784588,서울 마포구 어울마당로 100-12 1층,37.5537999628014,126.922391499236,02-332-8183,커피전문점
브루라티오 홍대점,4.1,162,https://place.map.kakao.com/1090393616,"서울 마포구 잔다리로 28 1,2층",37.5537999628014,126.922391499236,,커피전문점
민트하임,3.9,107,https://place.map.kakao.com/27515050,서울 마포구 잔다리로6길 28,37.552184839072,126.920636800506,02-324-1359,디저트카페
카페로제,4.2,26,https://place.map.kakao.com/1501906792,서울 마포구 와우산로29길 40-18 3층,37.5557174480606,126.928202227308,010-8422-0915,카페
카페 지금여기,3.7,25,https://place.map.kakao.com/36768345,서울 마포구 양화로16길 30-5 3층,37.5527495392679,126.921241996705,070-8803-2112,카페
8810리스트레토바,4.1,89,https://place.map.kakao.com/1994324336,서울 마포구 월드컵북로6길 88-10,37.5598656024226,126.922997285783,070-4903-7370,커피전문점
랑데자뷰 서교점,3.8,420,https://place.map.kakao.com/1534890108,서울 마포구 월드컵북로5길 53,37.5560871299196,126.916048197797,,카페
더페이머스램,3.5,90,https://place.map.kakao.com/17361259,서울 마포구 월드컵북로 19 1층,37.5563809603233,126.919696961326,02-334-2352,카페
땡스네이쳐,4.5,80,https://place.map.kakao.com/10368349,서울 마포구 홍익로 10 푸르지오상가 지하 121호,37.5537619785992,126.923693794834,02-332-7470,테마카페
카페노티드 연남,4.0,57,https://place.map.kakao.com/2084722359,서울 마포구 월드컵북로6길 12-13 지하1층,37.5577117611041,126.920136696191,070-4177-9377,카페
샌드커피 논탄토,4.1,104,https://place.map.kakao.com/1922103551,서울 마포구 동교로 212-16 1층,37.5588301896513,126.92399036043,02-336-8020,카페
카페 사운드웨이브,5.0,13,https://place.map.kakao.com/1985941727,서울 마포구 독막로3길 24 3층,37.5492591112747,126.917086893412,070-8825-3758,카페
라헬의부엌 홍대점,3.5,132,https://place.map.kakao.com/432440843,서울 마포구 와우산로29길 47,37.5556470988924,126.927349078747,,디저트카페
블랑,3.9,14,https://place.map.kakao.com/1187758347,서울 마포구 양화로 192 대영빌딩 1층,37.5583280533329,126.926246501876,02-332-2780,디저트카페
카페시루모락,4.2,63,https://place.map.kakao.com/1481181112,서울 마포구 양화로10길 20 1.5층 상가,37.5583280533329,126.926246501876,0507-1323-0201,카페
히어로보드게임카페 홍대1호점,4.6,45,https://place.map.kakao.com/13623634,서울 마포구 와우산로21길 31-10 2층,37.5520984275925,126.921843831702,02-6368-6001,보드카페
애프터눈커피,4.5,19,https://place.map.kakao.com/22134837,"서울 마포구 신촌로4길 22-14 1층, 2층",37.557330941431,126.927591451831,02-335-3119,커피전문점
모리츠플라츠,4.0,144,https://place.map.kakao.com/1140900586,서울 마포구 와우산로 174 1층,37.5560670213969,126.931360812254,010-2601-0423,카페
허밍벨라,3.3,216,https://place.map.kakao.com/24532689,서울 마포구 독막로7길 57,37.5503550144727,126.919987585685,02-324-7050,카페
미스터리룸이스케이프 홍대2호점,4.2,48,https://place.map.kakao.com/727312827,서울 마포구 독막로7길 41 2층,37.5496970209014,126.919465468441,02-336-9010,테마카페
러빈허플라워&갤러리카페,4.3,29,https://place.map.kakao.com/2014990648,서울 마포구 신촌로6길 22,37.5564184838782,126.929800148831,02-322-0122,테마카페
서울이스케이프룸 홍대2호점,3.0,72,https://place.map.kakao.com/1351400084,서울 마포구 와우산로17길 11 코스모스빌딩 3층,37.5501005642456,126.922405180511,02-333-6502,테마카페
쇼콜라윰,4.1,61,https://place.map.kakao.com/7940799,서울 마포구 와우산로21길 26,37.5524852533879,126.922569179609,02-337-1027,카페
커피폴리,4.0,80,https://place.map.kakao.com/1184891158,서울 마포구 양화로11길 14 1층,37.5520594306087,126.915964105094,,커피전문점
알디프,,52,https://place.map.kakao.com/1848072087,"서울 마포구 와우산로35길 19 지하1층, 1층",37.5558712475746,126.929396291558,070-7759-5033,카페
재미난조각가 홍대점,2.4,62,https://place.map.kakao.com/12532489,서울 마포구 와우산로21길 24 2층,37.5524506726356,126.922733536484,02-325-4543,사주카페
빌리엔젤 홍대점,2.9,45,https://place.map.kakao.com/17709436,서울 마포구 와우산로 103,37.5533581950205,126.925027690685,02-323-0020,디저트카페
비하인드,4.0,54,https://place.map.kakao.com/8346767,서울 마포구 어울마당로5길 18 1층 카페 비하인드,37.5493038675519,126.919659854608,123,카페
리플로우 연남점,4.5,89,https://place.map.kakao.com/1600050052,서울 마포구 월드컵북로6길 88 1~2층,37.5493038675519,126.919659854608,02-6409-0502,카페
퀜치커피,4.2,57,https://place.map.kakao.com/349406544,서울 마포구 동교로12안길 9 1층,37.5540094457128,126.912837260004,,커피전문점
모파상,2.9,167,https://place.map.kakao.com/1303946901,서울 마포구 양화로19길 22-13,37.5588728988555,126.924273829223,02-333-6002,카페
스타일난다 핑크풀카페 홍대점,4.2,41,https://place.map.kakao.com/1010612115,서울 마포구 와우산로29다길 23 플래그십 스토어 4층,37.5546095182049,126.927508753261,070-7663-6909,카페
타이거슈가 홍대본점,3.9,381,https://place.map.kakao.com/1507857093,서울 마포구 어울마당로 124 1층,37.5555075055098,126.924010937743,02-336-1341,카페
비포블루밍,4.0,179,https://place.map.kakao.com/1794025679,서울 마포구 양화로23길 28,37.559608616725,126.925064436597,,카페
밀로커피로스터스,4.2,58,https://place.map.kakao.com/11831442,서울 마포구 양화로18안길 36 1층,37.5570590551438,126.926625986048,02-554-3916,커피전문점
모멘트커피 2호점,3.0,215,https://place.map.kakao.com/2040780653,서울 마포구 월드컵북로4길 29,37.5577001130267,126.921036916395,070-8860-5287,카페
키이스케이프 홍대점,3.5,88,https://place.map.kakao.com/200411443,서울 마포구 어울마당로 44-1 지하 1층,37.5489618933082,126.920927426796,010-7497-5517,테마카페
집사의하루 홍대점,4.8,27,https://place.map.kakao.com/1228594008,서울 마포구 와우산로21길 19-8 태경빌딩 2층,37.552079973082,126.922689217725,02-792-7984,고양이카페
루바브,4.2,108,https://place.map.kakao.com/1492094597,서울 마포구 홍익로6길 83 1층,37.5574063520512,126.925558506204,070-7543-2628,카페
스타벅스 홍대입구역사거리R점,3.2,61,https://place.map.kakao.com/1436512690,서울 마포구 양화로 125 경남관광빌딩 1층,37.5547493986687,126.920309389675,1522-3232,커피전문점
와줘서고마워,3.3,76,https://place.map.kakao.com/27543967,서울 마포구 양화로11길 22,37.5522382688712,126.915571436023,,카페
카페소공원,5.0,12,https://place.map.kakao.com/194016152,서울 마포구 어울마당로5길 52,37.5500843288015,126.917980210869,02-3144-3226,카페
플레이보드 홍대2호점,4.4,51,https://place.map.kakao.com/1748850413,서울 마포구 잔다리로6길 20-9 3층,37.551880674628,126.92065534307,070-4106-0111,보드카페
딩굴딩굴알타미라,2.9,29,https://place.map.kakao.com/26844658,서울 마포구 와우산로29길 21 지하1층,37.5549273257875,126.928585961258,02-322-7676,만화카페
덤앤더머 홍대점,4.8,43,https://place.map.kakao.com/983012264,서울 마포구 독막로7길 48 5층,37.5498485154003,126.919916833251,02-336-0959,테마카페
스타벅스 홍대역점,2.5,31,https://place.map.kakao.com/22105109,서울 마포구 양화로 165 상진빌딩 1층,37.5572083355752,126.923619092959,1522-3232,커피전문점
미어캣프랜즈,2.2,59,https://place.map.kakao.com/1780755840,서울 마포구 와우산로21길 19-12 예원빌딩 3층,37.5519364127775,126.922641382774,010-6250-4683,테마카페
반지대학 홍대본점,3.6,310,https://place.map.kakao.com/27311809,서울 마포구 잔다리로 7 4층,37.55056090174,126.922158001531,02-6224-6620,테마카페
방탈출카페ESC 홍대점,1.7,7,https://place.map.kakao.com/1604855298,서울 마포구 와우산로21길 19-16 NS타워 지하 2층,37.5518246201043,126.922536252216,02-336-8287,테마카페
폴링디저트,4.3,31,https://place.map.kakao.com/452082992,서울 마포구 와우산로29길 44 1층,37.5557485504939,126.92778854726,,디저트카페
카페그랑주,4.2,49,https://place.map.kakao.com/1372734736,서울 마포구 홍익로5길 13 동신빌딩 지하1층,37.5541549567875,126.921574712791,02-325-3131,갤러리카페
슈아브,4.1,36,https://place.map.kakao.com/15674730,서울 마포구 월드컵북로5가길 17 1층,37.5567505719513,126.918938856055,02-322-0999,디저트카페
스타벅스 홍대공항철도역점,3.4,28,https://place.map.kakao.com/231272664,서울 마포구 양화로 178,37.5575046128363,126.925213220295,1522-3232,커피전문점
더귀여워,2.8,10,https://place.map.kakao.com/831205434,서울 마포구 와우산로17길 15 서교동빌딩 5층,37.5500566713206,126.922109751727,,애견카페
스타벅스 망원역점,3.8,26,https://place.map.kakao.com/12776689,서울 마포구 월드컵로 74,37.555782204515,126.910728577563,1522-3232,커피전문점
